"","Year","School","G","W","L","W-L%","Rating","SOS","Conf_W","Conf_L","Hm_W","Hm_L","Aw_W","Aw_L","Tm.","Opp.","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Pace","ORtg","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%","eFG%","TOV%","ORB%","FT/FGA","OppFG","OppFGA","OppFG%","Opp3P","Opp3PA","Opp3P%","OppFT","OppFTA","OppFT%","OppORB","OppTRB","OppAST","OppSTL","OppBLK","OppTOV","OppPF","OppPace","OppORtg","OppFTr","Opp3PAr","OppTS%","OppTRB%","OppAST%","OppSTL%","OppBLK%","OppeFG%","OppTOV%","OppORB%","OppFT/FGA","seed","Fir_4","Rnd_64","Rnd_32","Swt_16","Eli_8","Fin_4","Champ","wins"
"1","2018","Alabama",36,20,16,0.556,12.34,10.64,8,10,12,4,2,8,2604,2543,1440,910,1975,0.461,229,702,0.326,555,828,0.67,358,1290,458,228,192,513,676,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.3,0.281,877,2109,0.416,262,799,0.328,527,769,0.685,414,1277,427,237,134,473,718,70.2,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16,30.8,0.25,9,NA,1,0,NA,NA,NA,NA,1
"2","2018","Arizona State",32,20,12,0.625,14.37,6.56,8,10,13,4,4,6,2645,2395,1290,888,1920,0.463,288,793,0.363,581,793,0.733,315,1126,458,209,114,343,604,72.2,113.6,0.413,0.413,0.576,49,51.6,9,9.9,0.538,13,27.9,0.303,841,1919,0.438,262,766,0.342,451,628,0.718,357,1171,479,172,111,474,688,72.2,102.8,0.327,0.399,0.54,51,57,7.4,9.8,0.507,17.6,30.6,0.235,11,0,NA,NA,NA,NA,NA,NA,0
"3","2018","Arizona",35,27,8,0.771,15.67,6.84,14,4,15,1,8,3,2818,2509,1420,1009,2003,0.504,237,642,0.369,563,741,0.76,352,1277,531,173,158,426,603,68.7,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.2,0.281,890,2047,0.435,261,729,0.358,468,638,0.734,310,1018,443,214,92,406,686,68.7,102.9,0.312,0.356,0.534,44.4,49.8,8.8,6.8,0.499,14.7,25.1,0.229,4,NA,0,NA,NA,NA,NA,NA,0
"4","2018","Arkansas",35,23,12,0.657,14.76,9.85,10,8,15,2,3,7,2819,2647,1415,1005,2119,0.474,269,681,0.395,540,793,0.681,350,1208,501,218,163,381,700,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255,872,2028,0.43,301,844,0.357,602,828,0.727,394,1264,477,167,125,490,680,71.3,105,0.408,0.416,0.547,51.1,54.7,6.6,8.7,0.504,16.8,31.5,0.297,7,NA,0,NA,NA,NA,NA,NA,0
"5","2018","Auburn",34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,2783,2488,1360,906,2102,0.431,324,908,0.357,647,836,0.774,403,1290,481,252,180,411,672,73.5,111.4,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,31.8,0.308,838,1961,0.427,273,777,0.351,539,747,0.722,341,1207,439,207,111,516,700,73.5,99.6,0.381,0.396,0.537,48.3,52.4,8.3,9.3,0.497,18.2,27.8,0.275,4,NA,1,0,NA,NA,NA,NA,1
"6","2018","Bucknell",35,25,10,0.714,4.48,-3.46,16,2,15,1,10,8,2837,2559,1420,965,2050,0.471,280,804,0.348,627,872,0.719,324,1281,505,194,152,437,655,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,26.9,0.306,911,2138,0.426,224,677,0.331,513,738,0.695,360,1240,448,231,116,438,742,72.4,99.5,0.345,0.317,0.514,49.2,49.2,9,9.3,0.478,15,27.3,0.24,14,NA,0,NA,NA,NA,NA,NA,0
"7","2018","Buffalo",36,27,9,0.75,7.99,0.25,15,3,14,1,8,5,3047,2742,1455,1105,2334,0.473,351,948,0.37,486,695,0.699,426,1388,597,225,146,446,755,73.9,113.3,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.6,0.208,936,2179,0.43,239,728,0.328,631,860,0.734,389,1313,415,207,135,496,657,73.9,102,0.395,0.334,0.53,48.6,44.3,7.7,9.7,0.484,16.1,28.8,0.29,13,NA,1,0,NA,NA,NA,NA,1
"8","2018","Butler",35,21,14,0.6,16.92,10.55,9,9,14,3,3,7,2763,2540,1430,1020,2155,0.473,287,805,0.357,436,562,0.776,319,1198,489,232,100,391,642,69.7,110.9,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.1,0.202,877,1954,0.449,274,735,0.373,512,689,0.743,278,1137,440,179,120,484,586,69.7,102,0.353,0.376,0.557,48.7,50.2,7.2,8.9,0.519,17.5,24,0.262,10,NA,1,0,NA,NA,NA,NA,1
"9","2018","Cal State Fullerton",32,20,12,0.625,-0.92,-1.02,10,6,9,4,7,7,2318,2245,1290,804,1721,0.467,167,500,0.334,543,745,0.729,276,1123,403,201,106,455,578,70,102.7,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18,26.8,0.316,768,1861,0.413,220,635,0.346,489,647,0.756,320,1074,396,180,114,413,627,70,99.4,0.348,0.341,0.518,48.9,51.6,8,9.3,0.472,16,27.4,0.263,15,NA,0,NA,NA,NA,NA,NA,0
"10","2018","Cincinnati",36,31,5,0.861,20.25,3.53,16,2,15,1,9,2,2673,2071,1440,944,2100,0.45,262,742,0.353,523,756,0.692,477,1413,570,256,194,404,561,66.2,112.2,0.36,0.353,0.543,55.6,60.4,10.7,15.8,0.512,14.1,38.4,0.249,739,1974,0.374,231,747,0.309,362,529,0.684,361,1127,361,179,106,514,654,66.2,86.9,0.268,0.378,0.465,44.4,48.8,7.5,7.8,0.433,18.8,27.8,0.183,2,NA,1,0,NA,NA,NA,NA,1
"11","2018","Clemson",35,25,10,0.714,17.17,9.25,11,7,15,1,4,6,2584,2307,1410,899,1971,0.456,288,786,0.366,498,660,0.755,310,1256,463,198,169,414,564,67.6,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27,0.253,826,2033,0.406,268,761,0.352,387,552,0.701,332,1172,401,199,126,413,617,67.6,96.9,0.272,0.374,0.503,48.3,48.5,8.4,10.6,0.472,15.2,26,0.19,5,NA,1,1,0,NA,NA,NA,2
"12","2018","College of Charleston",34,26,8,0.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,1385,875,1905,0.459,259,720,0.36,527,699,0.754,285,1129,387,177,119,339,563,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.6,0.277,824,1907,0.432,239,694,0.344,444,602,0.738,321,1149,410,140,110,403,617,65.9,102.1,0.316,0.364,0.531,50.4,49.8,6.1,9.3,0.495,15.5,27.6,0.233,13,NA,0,NA,NA,NA,NA,NA,0
"13","2018","Creighton",33,21,12,0.636,16.35,8.1,10,8,16,2,4,7,2756,2444,1330,1008,2050,0.492,343,923,0.372,397,531,0.748,246,1206,588,187,88,371,501,72.9,113.7,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.3,0.194,907,2093,0.433,261,785,0.332,369,512,0.721,303,1160,460,200,99,387,529,72.9,100.8,0.245,0.375,0.523,49,50.7,8.3,8.8,0.496,14.2,24,0.176,8,NA,0,NA,NA,NA,NA,NA,0
"14","2018","Davidson",33,21,12,0.636,11.02,2.57,13,5,11,1,6,8,2519,2240,1335,899,1874,0.48,353,907,0.389,368,461,0.798,225,1078,551,155,65,315,503,65.3,115.6,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.3,0.196,802,1826,0.439,266,761,0.35,370,540,0.685,258,1042,417,158,83,352,525,65.3,102.8,0.296,0.417,0.538,49.2,52,7.2,8.6,0.512,14.5,23.2,0.203,12,NA,0,NA,NA,NA,NA,NA,0
"15","2018","Duke",37,29,8,0.784,24.44,9.71,13,5,15,1,6,5,3121,2576,1490,1125,2288,0.492,309,831,0.372,562,791,0.71,492,1519,648,275,185,460,574,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246,957,2364,0.405,279,871,0.32,383,526,0.728,432,1216,537,210,97,453,671,70.7,97.8,0.223,0.368,0.493,44.5,56.1,8,6.7,0.464,14.8,29.6,0.162,2,NA,1,1,1,0,NA,NA,3
"16","2018","Florida State",35,23,12,0.657,15.79,8.5,9,9,13,2,4,7,2806,2551,1420,994,2125,0.468,273,781,0.35,543,786,0.691,393,1322,523,241,186,456,652,72.2,109.4,0.37,0.368,0.562,51.8,52.6,9.4,14,0.532,15.4,31.7,0.256,887,2129,0.417,285,802,0.355,492,689,0.714,383,1228,432,204,104,494,658,72.2,99.5,0.324,0.377,0.519,48.2,48.7,8,7.7,0.484,16.7,29.2,0.231,9,NA,1,1,1,0,NA,NA,3
"17","2018","Florida",34,21,13,0.618,16.67,10.08,11,7,12,5,5,4,2577,2353,1375,893,2065,0.432,308,832,0.37,483,673,0.718,366,1198,445,237,164,335,591,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234,832,1946,0.428,229,650,0.352,460,629,0.731,362,1273,394,150,105,468,607,68.4,100,0.323,0.334,0.524,51.5,47.4,6.4,8.5,0.486,17.3,30.3,0.236,6,NA,1,0,NA,NA,NA,NA,1
"18","2018","Georgia State",35,24,11,0.686,3.23,-2.78,12,6,11,3,9,6,2614,2356,1415,937,2033,0.461,323,839,0.385,417,615,0.678,303,1182,455,256,160,395,639,68,108.7,0.303,0.413,0.562,47.7,48.6,10.6,15.1,0.54,14.5,25.6,0.205,771,1963,0.393,307,901,0.341,507,727,0.697,416,1296,457,174,117,501,577,68,98,0.37,0.459,0.51,52.3,59.3,7.2,9.8,0.471,17.8,32.1,0.258,15,NA,0,NA,NA,NA,NA,NA,0
"19","2018","Gonzaga",37,32,5,0.865,18.43,2.59,17,1,15,1,10,1,3091,2505,1500,1125,2261,0.498,328,891,0.368,513,725,0.708,405,1477,564,234,134,420,631,69.8,118,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.4,0.227,890,2178,0.409,272,777,0.35,453,633,0.716,316,1160,411,190,101,455,681,69.8,95.6,0.291,0.357,0.505,44,46.2,7.3,7.4,0.471,15.5,22.8,0.208,4,NA,1,1,0,NA,NA,NA,2
"20","2018","Houston",35,27,8,0.771,15.99,4.16,14,4,15,0,6,5,2685,2271,1400,952,2066,0.461,297,768,0.387,484,674,0.718,404,1352,505,218,106,418,737,68.5,111.9,0.326,0.372,0.563,54.6,53,9.1,9,0.533,14.9,33.4,0.234,744,1887,0.394,231,715,0.323,552,785,0.703,320,1126,386,175,92,457,648,68.5,94.7,0.416,0.379,0.502,45.4,51.9,7.3,7.1,0.455,16.8,25.2,0.293,6,NA,1,0,NA,NA,NA,NA,1
